Type,Title,When
Call,Engagement check-in,2026-06-29
Call,Discovery call,2026-06-29
Call,Discovery call,2026-06-29
Call,Follow-up call,2026-06-29
Call,Follow-up call,2026-06-29
Call,Follow-up call,2026-06-29
Call,Engagement check-in,2026-06-29
Call,Follow-up call,2026-06-29
Meeting,Stakeholder alignment,2026-06-29
Meeting,Scoping session,2026-06-29
Meeting,Engagement review,2026-06-29
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2026-06-30
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2026-06-30
Note,Lost — needed delivery across timezones we do not currently staff.,2026-06-30
Call,Follow-up call,2026-06-30
Call,Discovery call,2026-06-30
Call,Discovery call,2026-06-30
Meeting,Engagement review,2026-06-30
Meeting,Diagnostic readout,2026-06-30
Note,Shared two anonymised case studies from similar-stage organizations.,2026-07-01
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-07-01
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2026-07-01
Note,"Discovery — engagement survey scores dropped two quarters running; they want the root cause, not a workshop.",2026-07-01
Call,Follow-up call,2026-07-01
Call,Follow-up call,2026-07-01
Call,Follow-up call,2026-07-01
Note,"Discovery call — walked through their org structure, span of control and where decisions stall.",2026-07-02
Call,Discovery call,2026-07-02
Call,Engagement check-in,2026-07-02
Meeting,Stakeholder alignment,2026-07-02
Meeting,Scoping session,2026-07-02
Meeting,Engagement review,2026-07-02
Meeting,Engagement review,2026-07-02
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2026-07-03
Call,Discovery call,2026-07-03
Call,Engagement check-in,2026-07-03
Call,Follow-up call,2026-07-03
Call,Discovery call,2026-07-03
Call,Discovery call,2026-07-03
Note,"Scoping call — mapped the leadership bench, current review cycle and who owns development today.",2026-07-06
Note,"Discovery call — walked through their org structure, span of control and where decisions stall.",2026-07-06
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2026-07-06
Note,"Discovery call — walked through their org structure, span of control and where decisions stall.",2026-07-06
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-07-06
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2026-07-06
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-07-06
Note,"Discovery call — walked through their org structure, span of control and where decisions stall.",2026-07-06
Call,Engagement check-in,2026-07-06
Call,Discovery call,2026-07-06
Call,Engagement check-in,2026-07-06
Call,Follow-up call,2026-07-06
Call,Engagement check-in,2026-07-06
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2026-07-07
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2026-07-07
Note,"Discovery call — walked through their org structure, span of control and where decisions stall.",2026-07-07
Note,"Scoping call — mapped the leadership bench, current review cycle and who owns development today.",2026-07-07
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2026-07-07
Call,Discovery call,2026-07-07
Call,Follow-up call,2026-07-07
Call,Discovery call,2026-07-07
Meeting,Scoping session,2026-07-07
Meeting,Proposal review,2026-07-07
Meeting,Diagnostic readout,2026-07-07
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-07-08
Note,Intro call. Rapid headcount growth has outpaced their management layer; first-time managers are struggling.,2026-07-08
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-07-08
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2026-07-08
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2026-07-08
Note,Sent the program outline and a sample cohort schedule.,2026-07-08
Note,"Qualification call. Confirmed the sponsor, budget owner and target cohort size.",2026-07-08
Call,Engagement check-in,2026-07-08
Call,Follow-up call,2026-07-08
Meeting,Engagement review,2026-07-08
Meeting,Proposal review,2026-07-08
Meeting,Diagnostic readout,2026-07-08
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2026-07-09
Call,Engagement check-in,2026-07-09
Call,Engagement check-in,2026-07-09
Call,Follow-up call,2026-07-09
Meeting,Scoping session,2026-07-09
Meeting,Stakeholder alignment,2026-07-09
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-07-10
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-07-10
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2026-07-10
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-07-10
Call,Follow-up call,2026-07-10
Call,Follow-up call,2026-07-10
Meeting,Scoping session,2026-07-10
Meeting,Stakeholder alignment,2026-07-10
Note,"Discovery — engagement survey scores dropped two quarters running; they want the root cause, not a workshop.",2026-07-13
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-07-13
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2026-07-13
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-07-13
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2026-07-13
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-07-13
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-07-13
Note,Shared two anonymised case studies from similar-stage organizations.,2026-07-13
Call,Discovery call,2026-07-13
Call,Engagement check-in,2026-07-13
Call,Engagement check-in,2026-07-13
Call,Follow-up call,2026-07-13
Call,Discovery call,2026-07-13
Call,Discovery call,2026-07-13
Call,Follow-up call,2026-07-13
Call,Engagement check-in,2026-07-13
Call,Engagement check-in,2026-07-13
Call,Follow-up call,2026-07-13
Meeting,Diagnostic readout,2026-07-13
Meeting,Scoping session,2026-07-13
Meeting,Scoping session,2026-07-13
Meeting,Proposal review,2026-07-13
Meeting,Engagement review,2026-07-13
Note,Shared two anonymised case studies from similar-stage organizations.,2026-07-14
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-07-14
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2026-07-14
Note,Shared two anonymised case studies from similar-stage organizations.,2026-07-14
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-07-14
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2026-07-14
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-07-14
Note,"Discovery call — walked through their org structure, span of control and where decisions stall.",2026-07-14
Call,Follow-up call,2026-07-14
Call,Follow-up call,2026-07-14
Call,Follow-up call,2026-07-14
Meeting,Stakeholder alignment,2026-07-14
Note,"Qualification call. Confirmed the sponsor, budget owner and target cohort size.",2026-07-15
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-07-15
Note,Shared two anonymised case studies from similar-stage organizations.,2026-07-15
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-07-15
Call,Engagement check-in,2026-07-15
Call,Engagement check-in,2026-07-15
Meeting,Diagnostic readout,2026-07-15
Meeting,Stakeholder alignment,2026-07-15
Note,"Discovery — engagement survey scores dropped two quarters running; they want the root cause, not a workshop.",2026-07-16
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-07-16
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2026-07-16
Call,Engagement check-in,2026-07-16
Call,Follow-up call,2026-07-16
Call,Follow-up call,2026-07-16
Call,Follow-up call,2026-07-16
Call,Discovery call,2026-07-16
Call,Engagement check-in,2026-07-16
Call,Follow-up call,2026-07-16
Meeting,Scoping session,2026-07-16
Meeting,Scoping session,2026-07-16
Meeting,Stakeholder alignment,2026-07-16
Meeting,Proposal review,2026-07-16
Meeting,Diagnostic readout,2026-07-16
Meeting,Stakeholder alignment,2026-07-16
Meeting,Stakeholder alignment,2026-07-16
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-07-17
Call,Follow-up call,2026-07-17
Call,Engagement check-in,2026-07-17
Call,Follow-up call,2026-07-17
Call,Engagement check-in,2026-07-17
Meeting,Diagnostic readout,2026-07-17
Meeting,Stakeholder alignment,2026-07-17
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2026-07-20
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-07-20
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-07-20
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-07-20
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-07-20
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-07-20
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-07-20
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-07-20
Call,Follow-up call,2026-07-20
Call,Discovery call,2026-07-20
Call,Engagement check-in,2026-07-20
Call,Follow-up call,2026-07-20
Call,Follow-up call,2026-07-20
Call,Engagement check-in,2026-07-20
Call,Follow-up call,2026-07-20
Call,Follow-up call,2026-07-20
Call,Discovery call,2026-07-20
Call,Follow-up call,2026-07-20
Call,Discovery call,2026-07-20
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-07-21
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-07-21
Call,Discovery call,2026-07-21
Call,Engagement check-in,2026-07-21
Call,Follow-up call,2026-07-21
Call,Follow-up call,2026-07-21
Call,Engagement check-in,2026-07-21
Meeting,Proposal review,2026-07-21
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-07-22
Note,Sent the program outline and a sample cohort schedule.,2026-07-22
Note,"Progress review: managers applying the feedback model, early behaviour change visible.",2026-07-22
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-07-22
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-07-22
Call,Follow-up call,2026-07-22
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-07-23
Note,Sent the program outline and a sample cohort schedule.,2026-07-23
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-07-23
Note,Sent the program outline and a sample cohort schedule.,2026-07-23
Call,Follow-up call,2026-07-23
Call,Follow-up call,2026-07-23
Call,Follow-up call,2026-07-23
Call,Engagement check-in,2026-07-23
Meeting,Stakeholder alignment,2026-07-23
Meeting,Scoping session,2026-07-23
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-07-24
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-07-24
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-07-24
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-07-24
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-07-24
Call,Engagement check-in,2026-07-24
Call,Follow-up call,2026-07-24
Call,Follow-up call,2026-07-24
Call,Follow-up call,2026-07-24
Call,Follow-up call,2026-07-24
Note,Sent the program outline and a sample cohort schedule.,2026-07-27
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-07-27
Note,Shared two anonymised case studies from similar-stage organizations.,2026-07-27
Note,"Discovery — engagement survey scores dropped two quarters running; they want the root cause, not a workshop.",2026-07-27
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2026-07-27
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-07-27
Note,Sent the program outline and a sample cohort schedule.,2026-07-27
Note,Sent the program outline and a sample cohort schedule.,2026-07-27
Note,"Scoping call — mapped the leadership bench, current review cycle and who owns development today.",2026-07-27
Note,"Discovery — engagement survey scores dropped two quarters running; they want the root cause, not a workshop.",2026-07-27
Call,Follow-up call,2026-07-27
Call,Follow-up call,2026-07-27
Call,Follow-up call,2026-07-27
Call,Follow-up call,2026-07-27
Call,Follow-up call,2026-07-27
Call,Follow-up call,2026-07-27
Call,Follow-up call,2026-07-27
Meeting,Stakeholder alignment,2026-07-27
Meeting,Proposal review,2026-07-27
Meeting,Diagnostic readout,2026-07-27
Meeting,Diagnostic readout,2026-07-27
Meeting,Proposal review,2026-07-27
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2026-07-28
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-07-28
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-07-28
Note,"Discovery call — walked through their org structure, span of control and where decisions stall.",2026-07-28
Call,Follow-up call,2026-07-28
Call,Follow-up call,2026-07-28
Call,Discovery call,2026-07-28
Call,Follow-up call,2026-07-28
Meeting,Stakeholder alignment,2026-07-28
Meeting,Engagement review,2026-07-28
Meeting,Scoping session,2026-07-28
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-07-29
Call,Follow-up call,2026-07-29
Call,Follow-up call,2026-07-29
Call,Engagement check-in,2026-07-29
Meeting,Diagnostic readout,2026-07-29
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2026-07-30
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-07-30
Note,"Scoping call — mapped the leadership bench, current review cycle and who owns development today.",2026-07-30
Call,Follow-up call,2026-07-30
Call,Engagement check-in,2026-07-30
Call,Follow-up call,2026-07-30
Call,Follow-up call,2026-07-30
Call,Follow-up call,2026-07-30
Call,Follow-up call,2026-07-30
Meeting,Diagnostic readout,2026-07-30
Meeting,Stakeholder alignment,2026-07-30
Meeting,Engagement review,2026-07-30
Note,Shared two anonymised case studies from similar-stage organizations.,2026-07-31
Note,"Discovery call — walked through their org structure, span of control and where decisions stall.",2026-07-31
Call,Follow-up call,2026-07-31
Call,Follow-up call,2026-07-31
Call,Follow-up call,2026-07-31
Call,Follow-up call,2026-07-31
Call,Follow-up call,2026-07-31
Call,Engagement check-in,2026-07-31
Call,Follow-up call,2026-07-31
Meeting,Engagement review,2026-07-31
Meeting,Scoping session,2026-07-31
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-08-03
Note,"Qualification call. Confirmed the sponsor, budget owner and target cohort size.",2026-08-03
Note,"Monthly check-in — cohort attendance steady, sponsor happy with progress.",2026-08-03
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-08-03
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-08-03
Note,Shared two anonymised case studies from similar-stage organizations.,2026-08-03
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-08-03
Note,"Discovery — engagement survey scores dropped two quarters running; they want the root cause, not a workshop.",2026-08-03
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-08-03
Call,Follow-up call,2026-08-03
Call,Follow-up call,2026-08-03
Call,Follow-up call,2026-08-03
Call,Follow-up call,2026-08-03
Call,Follow-up call,2026-08-03
Call,Follow-up call,2026-08-03
Call,Follow-up call,2026-08-03
Call,Follow-up call,2026-08-03
Call,Follow-up call,2026-08-03
Call,Follow-up call,2026-08-03
Call,Follow-up call,2026-08-03
Call,Engagement check-in,2026-08-03
Call,Follow-up call,2026-08-03
Call,Follow-up call,2026-08-03
Call,Follow-up call,2026-08-03
Call,Follow-up call,2026-08-03
Meeting,Diagnostic readout,2026-08-03
Meeting,Diagnostic readout,2026-08-03
Meeting,Proposal review,2026-08-03
Meeting,Diagnostic readout,2026-08-03
Meeting,Stakeholder alignment,2026-08-03
Meeting,Diagnostic readout,2026-08-03
Meeting,Proposal review,2026-08-03
Meeting,Proposal review,2026-08-03
Meeting,Scoping session,2026-08-03
Meeting,Scoping session,2026-08-03
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-08-04
Note,Shared two anonymised case studies from similar-stage organizations.,2026-08-04
Note,Sent the program outline and a sample cohort schedule.,2026-08-04
Note,Check-in call. Client asked to shift a session to accommodate their planning cycle.,2026-08-04
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-08-04
Note,Sent the program outline and a sample cohort schedule.,2026-08-04
Call,Follow-up call,2026-08-04
Call,Follow-up call,2026-08-04
Call,Follow-up call,2026-08-04
Meeting,Stakeholder alignment,2026-08-04
Meeting,Diagnostic readout,2026-08-04
Meeting,Stakeholder alignment,2026-08-04
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-08-05
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-08-05
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-08-05
Note,Sent the program outline and a sample cohort schedule.,2026-08-05
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-08-05
Call,Discovery call,2026-08-05
Call,Follow-up call,2026-08-05
Call,Follow-up call,2026-08-05
Call,Follow-up call,2026-08-05
Call,Follow-up call,2026-08-05
Call,Follow-up call,2026-08-05
Meeting,Diagnostic readout,2026-08-05
Meeting,Diagnostic readout,2026-08-05
Meeting,Diagnostic readout,2026-08-05
Note,Sent the program outline and a sample cohort schedule.,2026-08-06
Note,"Engagement review — consultant tracking to plan, sponsor satisfied.",2026-08-06
Call,Follow-up call,2026-08-06
Call,Follow-up call,2026-08-06
Call,Follow-up call,2026-08-06
Meeting,Stakeholder alignment,2026-08-06
Meeting,Proposal review,2026-08-06
Note,Sent the program outline and a sample cohort schedule.,2026-08-07
Note,Sent the program outline and a sample cohort schedule.,2026-08-07
Call,Follow-up call,2026-08-07
Meeting,Scoping session,2026-08-07
Meeting,Diagnostic readout,2026-08-07
Task,(Sample task) Prepare quote for Maria Johnson (Sample Contact),2026-08-09
Task,(Sample task) Follow up with Brian,2026-08-09
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-08-10
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-08-10
Note,Shared two anonymised case studies from similar-stage organizations.,2026-08-10
Note,Shared two anonymised case studies from similar-stage organizations.,2026-08-10
Note,Shared two anonymised case studies from similar-stage organizations.,2026-08-10
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-08-10
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-08-10
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-08-10
Note,Shared two anonymised case studies from similar-stage organizations.,2026-08-10
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-08-10
Note,Sent the program outline and a sample cohort schedule.,2026-08-10
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-08-10
Call,Follow-up call,2026-08-10
Call,Follow-up call,2026-08-10
Call,Follow-up call,2026-08-10
Call,Follow-up call,2026-08-10
Call,Follow-up call,2026-08-10
Call,Follow-up call,2026-08-10
Call,Follow-up call,2026-08-10
Call,Follow-up call,2026-08-10
Call,Follow-up call,2026-08-10
Call,Follow-up call,2026-08-10
Call,Follow-up call,2026-08-10
Call,Follow-up call,2026-08-10
Meeting,Diagnostic readout,2026-08-10
Meeting,Diagnostic readout,2026-08-10
Meeting,Stakeholder alignment,2026-08-10
Meeting,Scoping session,2026-08-10
Meeting,Diagnostic readout,2026-08-10
Meeting,Stakeholder alignment,2026-08-10
Meeting,Stakeholder alignment,2026-08-10
Meeting,Stakeholder alignment,2026-08-10
Note,Shared two anonymised case studies from similar-stage organizations.,2026-08-11
Note,Sent the program outline and a sample cohort schedule.,2026-08-11
Note,Sent the program outline and a sample cohort schedule.,2026-08-11
Call,Follow-up call,2026-08-11
Call,Follow-up call,2026-08-11
Call,Follow-up call,2026-08-11
Call,Follow-up call,2026-08-11
Call,Follow-up call,2026-08-11
Call,Follow-up call,2026-08-11
Meeting,Proposal review,2026-08-11
Meeting,Proposal review,2026-08-11
Note,Shared two anonymised case studies from similar-stage organizations.,2026-08-12
Note,Shared two anonymised case studies from similar-stage organizations.,2026-08-12
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-08-12
Call,Follow-up call,2026-08-12
Call,Follow-up call,2026-08-12
Call,Follow-up call,2026-08-12
Call,Follow-up call,2026-08-12
Meeting,Scoping session,2026-08-12
Meeting,Diagnostic readout,2026-08-12
Meeting,Scoping session,2026-08-12
Note,Follow-up on outstanding questions about measurement and how we report progress to their board.,2026-08-13
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-08-13
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-08-13
Note,Sent the program outline and a sample cohort schedule.,2026-08-13
Call,Follow-up call,2026-08-13
Call,Follow-up call,2026-08-13
Call,Follow-up call,2026-08-13
Meeting,Diagnostic readout,2026-08-13
Meeting,Diagnostic readout,2026-08-13
Note,Shared two anonymised case studies from similar-stage organizations.,2026-08-14
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-08-14
Note,Sent the program outline and a sample cohort schedule.,2026-08-14
Note,Intro call. Rapid headcount growth has outpaced their management layer; first-time managers are struggling.,2026-08-14
Note,"Emailed the proposal with cohort size, session cadence and consultant profile.",2026-08-14
Call,Follow-up call,2026-08-14
Meeting,Diagnostic readout,2026-08-14
Meeting,Proposal review,2026-08-14
Note,"Statement of Work - executed 2026-08-15. Contract value $24,109. [zia-doc]",2026-08-15
Note,"Statement of Work - executed 2026-08-15. Contract value $33,670. [zia-doc]",2026-08-15
Note,"Statement of Work - executed 2026-08-15. Contract value $14,133. [zia-doc]",2026-08-15
Note,Engagement review - health 33 against a target of 70. Joint review actions agreed. [zia-doc],2026-08-15
Note,"Statement of Work - executed 2026-08-15. Contract value $22,904. [zia-doc]",2026-08-15
Note,"Statement of Work - executed 2026-08-15. Contract value $51,544. [zia-doc]",2026-08-15
Note,"Statement of Work - executed 2026-08-15. Contract value $50,879. [zia-doc]",2026-08-15
Note,Engagement review - health 41 against a target of 70. Joint review actions agreed. [zia-doc],2026-08-15
Note,"Statement of Work - executed 2026-08-15. Contract value $38,866. [zia-doc]",2026-08-15
Note,"Statement of Work - executed 2026-08-15. Contract value $13,094. [zia-doc]",2026-08-15
Note,Engagement review - health 42 against a target of 70. Joint review actions agreed. [zia-doc],2026-08-15
Note,"Statement of Work - executed 2026-08-15. Contract value $17,396. [zia-doc]",2026-08-15
Note,"Statement of Work - executed 2026-08-15. Contract value $16,627. [zia-doc]",2026-08-15
Note,Engagement review - health 43 against a target of 70. Joint review actions agreed. [zia-doc],2026-08-15
Note,"Statement of Work - executed 2026-08-15. Contract value $48,635. [zia-doc]",2026-08-15
Note,Engagement review - health 25 against a target of 70. Joint review actions agreed. [zia-doc],2026-08-15
Note,Engagement review - health 41 against a target of 70. Joint review actions agreed. [zia-doc],2026-08-15
Note,"Statement of Work - executed 2026-08-15. Contract value $20,784. [zia-doc]",2026-08-15
Note,Engagement review - health 33 against a target of 70. Joint review actions agreed. [zia-doc],2026-08-15
Note,"Statement of Work - executed 2026-08-15. Contract value $23,278. [zia-doc]",2026-08-15
Note,Engagement review - health 35 against a target of 70. Joint review actions agreed. [zia-doc],2026-08-15
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Lost — wanted consultants with deeper sector-specific experience.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,"Lost — they needed integration with their existing LMS, which we do not support.",2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-08-17
Note,Lost — wanted consultants with deeper sector-specific experience.,2026-08-17
Note,"Lost — they needed integration with their existing LMS, which we do not support.",2026-08-17
Note,Lost on price — client went with a lower-cost training vendor.,2026-08-17
Note,Lost on price — client went with a lower-cost training vendor.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Lost — wanted consultants with deeper sector-specific experience.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-08-17
Note,Lost — wanted consultants with deeper sector-specific experience.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Lost — sponsor felt the facilitator style was not the right fit for their culture.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Sent the program outline and a sample cohort schedule.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,No decision — client paused all L&amp;D spend this quarter.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Lost on price — client went with a lower-cost training vendor.,2026-08-17
Note,"Lost — they needed integration with their existing LMS, which we do not support.",2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,No decision — client paused all L&amp;D spend this quarter.,2026-08-17
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-08-17
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Lost — sponsor felt the facilitator style was not the right fit for their culture.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Lost — wanted consultants with deeper sector-specific experience.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Lost — sponsor felt the facilitator style was not the right fit for their culture.,2026-08-17
Note,No decision — client paused all L&amp;D spend this quarter.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Lost — sponsor felt the facilitator style was not the right fit for their culture.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-08-17
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-08-17
Note,Lost — wanted consultants with deeper sector-specific experience.,2026-08-17
Note,"Lost — they needed integration with their existing LMS, which we do not support.",2026-08-17
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-08-17
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Agreement signed. Handing to delivery for consultant assignment and kickoff scheduling.,2026-08-17
Note,Closed won. Cohort size and start date confirmed with the sponsor.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
Note,Closed lost — practice chose another route.,2026-08-17
