Deal Name,Amount,Close Date,Associated Company,zia_deal_type,zia_service_type,zia_seats_committed,zia_hours_per_week,zia_expected_launch_date,zia_primary_challenge
Belmont Smile Dentistry — Core embed,16212,2026-09-17,belmontsmiledentistry3146.com,Core,Records & Charting Support;Recall & Reactivation,1,26,,Communication style
Beacon Smile Dentistry — Core 2 seats,36164,2026-07-07,beaconsmiledentistry6799.com,Core,Recall & Reactivation;Patient Scheduling,2,29,2026-07-26,
Camden Dental Studio — Core embed,20576,2025-10-13,camdendentalstudio2939.com,Core,Records & Charting Support;Recall & Reactivation,1,33,,Coverage hours mismatch
Granville Pediatric Dentistry — Summit embed,32007,2026-09-11,granvillepediatricdentistry2487.com,Summit,Operations Leadership;Claims & AR Follow-up,1,28,,Client paused decision
Cavendish Dentistry — Core embed,18082,2026-11-06,cavendishdentistry759.com,Core,Insurance Verification;Records & Charting Support,1,29,,Communication style
Brookvale Pediatric Dentistry — Momentum embed,20784,2026-01-25,brookvalepediatricdentistry.com,Momentum,Recall & Reactivation;Claims & AR Follow-up,1,25,2026-02-17,
Redwood Dental Associates — Momentum embed,22447,2026-09-12,redwooddentalassociates8101.com,Momentum,Claims & AR Follow-up;Patient Scheduling,1,27,,
Stonebridge Dental Group — Momentum 3 seats,57364,2026-10-01,stonebridgedentalgroup411.com,Momentum,Recall & Reactivation;Insurance Verification,3,23,,Communication style
Everly Surgical Arts — Momentum embed,17459,2026-04-28,everlysurgicalarts.com,Momentum,Revenue Cycle / Billing;Practice Marketing,1,21,2026-05-10,
Thornbury Root Canal Specialists — Summit embed,29721,2025-05-06,thornburyrootcanalspecialist9984.com,Summit,Office Management;Revenue Cycle / Billing,1,26,2025-05-22,
Alder Creek Dental Group — Momentum embed,21615,2026-11-13,aldercreekdentalgroup1969.com,Momentum,Claims & AR Follow-up,1,26,,
Redwood Sports Rehab — Summit embed,28578,2026-03-09,redwoodsportsrehab1606.com,Summit,Office Management,1,25,2026-04-05,
Brookvale Smile Dentistry — Summit 2 seats,73160,2026-09-27,brookvalesmiledentistry2227.com,Summit,Revenue Cycle / Billing,2,32,,
Ridgeway Family Dental — Momentum embed,16627,2026-11-17,ridgewayfamilydental7771.com,Momentum,Revenue Cycle / Billing;Treatment Coordination,1,20,,Communication style
Ellswood Surgical Arts — Momentum embed,21615,2026-09-27,ellswoodsurgicalarts.com,Momentum,Recall & Reactivation,1,26,,
Cedar Point Kids Dental Care — Core embed,23694,2026-11-23,cedarpointkidsdentalcare7843.com,Core,Front Office / Patient Comms;Records & Charting Support,1,38,,
Foxfield Dental Group — Momentum 2 seats,58195,2026-11-05,foxfielddentalgroup928.com,Momentum,Practice Marketing,2,35,,Client paused decision
Windsor Orthodontic Group — Core embed,11847,2026-11-25,windsororthodonticgroup4586.com,Core,Patient Scheduling,1,19,,
Ellswood Oral & Maxillofacial Surgery — Momentum embed,19953,2026-09-12,ellswoodoralmaxillofacialsur2658.com,Momentum,Practice Marketing;Revenue Cycle / Billing,1,24,,
Cavendish Root Canal Specialists — Summit embed,35437,2026-08-21,cavendishrootcanalspecialist.com,Summit,Operations Leadership;Claims & AR Follow-up,1,31,,
Northline Dental Care — Core 2 seats,44893,2026-06-28,northlinedentalcare1670.com,Core,Patient Scheduling,2,36,2026-07-06,
Meridian Surgical Arts — Summit embed,43439,2026-04-20,meridiansurgicalarts7167.com,Summit,Office Management,1,38,2026-05-07,
Draycott Dental Alliance — Core embed,13094,2025-02-23,draycottdentalalliance9692.com,Core,Records & Charting Support;Patient Scheduling,1,21,2025-03-09,
Highpoint Oral Health Partners — Core embed,13094,2025-09-22,highpointoralhealthpartners4171.com,Core,Recall & Reactivation;Front Office / Patient Comms,1,21,,Client paused decision
Glenwood Smile Dentistry — Core embed,12470,2026-10-08,glenwoodsmiledentistry2735.com,Core,Patient Scheduling,1,20,,
Sinclair Dental Group — Core embed,17459,2025-12-13,sinclairdentalgroup6610.com,Core,Records & Charting Support,1,28,2026-01-09,
Hollis Dental Care — Momentum embed,23278,2026-10-18,hollisdentalcare4127.com,Momentum,Claims & AR Follow-up,1,28,,Client paused decision
Windsor Family Dental — Momentum embed,21615,2026-09-02,windsorfamilydental3356.com,Momentum,Patient Scheduling;Insurance Verification,1,26,,
Wynn Dental Collective — Core 2 seats,28682,2026-11-14,wynndentalcollective.com,Core,Patient Scheduling;Insurance Verification,2,23,,Specialty experience
Stonebridge Oral Health Partners — Core embed,18082,2025-10-23,stonebridgeoralhealthpartner8744.com,Core,Patient Scheduling;Insurance Verification,1,29,2025-11-01,
Oakhurst Dentistry — Core 2 seats,26188,2026-03-18,oakhurstdentistry1211.com,Core,Insurance Verification;Front Office / Patient Comms,2,21,2026-04-07,
Wynn Smile Partners — Summit embed,41152,2026-09-20,wynnsmilepartners3993.com,Summit,Operations Leadership;Office Management,1,36,,
Maplewood Periodontics — Momentum embed,23278,2024-12-17,maplewoodperiodontics.com,Momentum,Insurance Verification;Treatment Coordination,1,28,2025-01-04,
Glenwood Kids Dental Care — Core 2 seats,44893,2026-09-11,glenwoodkidsdentalcare6392.com,Core,Records & Charting Support;Patient Scheduling,2,36,,Communication style
Windsor Periodontics — Momentum embed,18290,2025-07-26,windsorperiodontics9837.com,Momentum,Revenue Cycle / Billing;Patient Scheduling,1,22,2025-08-19,
Bramwell Family Dentistry Group — Core embed,22447,2024-12-30,bramwellfamilydentistrygroup2377.com,Core,Records & Charting Support;Patient Scheduling,1,36,2025-01-24,
Ashford Dentistry — Core 3 seats,59858,2026-10-01,ashforddentistry8076.com,Core,Recall & Reactivation,3,32,,
Beacon Dental Associates — Core embed,12470,2026-09-01,beacondentalassociates.com,Core,Recall & Reactivation,1,20,,
Foxfield Dental Group — Momentum embed,30760,2026-11-20,foxfielddentalgroup367.com,Momentum,Practice Marketing;Insurance Verification,1,37,,Communication style
Belmont Orthodontics — Summit 2 seats,36580,2026-08-13,belmontorthodontics9759.com,Summit,Operations Leadership,2,16,,
Summit Ridge Smile Dentistry — Core 2 seats,34917,2026-08-22,summitridgesmiledentistry8885.com,Core,Insurance Verification;Records & Charting Support,2,28,,Specialty experience
Cavendish Dental Care Group — Core embed,18706,2026-09-05,cavendishdentalcaregroup9771.com,Core,Insurance Verification,1,30,,
Prescott Dentistry — Momentum embed,24941,2026-09-03,prescottdentistry6122.com,Momentum,Patient Scheduling;Treatment Coordination,1,30,,
Summit Ridge Family Dental — Momentum embed,17459,2026-11-12,summitridgefamilydental233.com,Momentum,Practice Marketing;Revenue Cycle / Billing,1,21,,
Cavendish Orthodontic Specialists — Core embed,18706,2026-10-22,cavendishorthodonticspeciali4379.com,Core,Insurance Verification;Patient Scheduling,1,30,,Client paused decision
Alder Creek Rehab Associates — Momentum embed,25772,2025-11-02,aldercreekrehabassociates768.com,Momentum,Recall & Reactivation;Claims & AR Follow-up,1,31,,Practice software gap
Cavendish Smile Dentistry — Core embed,15588,2026-08-25,cavendishsmiledentistry6142.com,Core,Recall & Reactivation;Patient Scheduling,1,25,,
Silverbrook Orthodontic Group — Momentum embed,15796,2026-09-08,silverbrookorthodonticgroup5273.com,Momentum,Revenue Cycle / Billing,1,19,,
Northline Dental Group — Momentum embed,20784,2025-01-25,northlinedentalgroup9900.com,Momentum,Recall & Reactivation;Insurance Verification,1,25,,Practice software gap
Windsor Orthodontic Group — Momentum 2 seats,34917,2026-12-07,windsororthodonticgroup3172.com,Momentum,Recall & Reactivation;Treatment Coordination,2,21,,
Bramwell Dental Associates — Momentum 2 seats,38243,2026-06-05,bramwelldentalassociates7884.com,Momentum,Treatment Coordination;Insurance Verification,2,23,2026-06-21,
Harbour Dental Care — Core embed,14964,2025-09-19,harbourdentalcare2594.com,Core,Front Office / Patient Comms;Insurance Verification,1,24,2025-10-16,
Prescott Movement Clinic — Momentum embed,16627,2025-04-10,prescottmovementclinic5129.com,Momentum,Patient Scheduling;Revenue Cycle / Billing,1,20,2025-05-03,
Highpoint Braces & Aligners — Momentum embed,28266,2026-11-11,highpointbracesaligners4741.com,Momentum,Revenue Cycle / Billing;Patient Scheduling,1,34,,
Cavendish Smile Dentistry — Core embed,14964,2026-11-11,cavendishsmiledentistry1390.com,Core,Recall & Reactivation;Records & Charting Support,1,24,,Coverage hours mismatch
Summit Ridge Dental Care — Momentum embed,27435,2026-08-28,summitridgedentalcare2689.com,Momentum,Revenue Cycle / Billing;Patient Scheduling,1,33,,
Fieldstone Oral Health Partners — Summit embed,43439,2026-11-08,fieldstoneoralhealthpartners4100.com,Summit,Office Management,1,38,,
Cedar Point Braces & Aligners — Summit embed,33150,2026-09-26,cedarpointbracesaligners5379.com,Summit,Operations Leadership;Revenue Cycle / Billing,1,29,,
Cavendish Braces & Aligners — Momentum 2 seats,59858,2025-06-20,cavendishbracesaligners.com,Momentum,Insurance Verification;Recall & Reactivation,2,36,,Specialty experience
Harbour Dental Care — Momentum 2 seats,38243,2025-09-09,harbourdentalcare5253.com,Momentum,Treatment Coordination;Insurance Verification,2,23,2025-09-27,
Silverbrook Dental Associates — Core embed,13717,2026-11-11,silverbrookdentalassociates253.com,Core,Records & Charting Support;Patient Scheduling,1,22,,
Windsor Dental Care Group — Summit embed,27435,2025-09-05,windsordentalcaregroup7255.com,Summit,Office Management;Revenue Cycle / Billing,1,24,2025-09-21,
Lockhart Dental Associates — Core embed,16835,2026-09-07,lockhartdentalassociates.com,Core,Records & Charting Support;Front Office / Patient Comms,1,27,,Client paused decision
Cavendish Dental Associates — Summit embed,27435,2025-01-25,cavendishdentalassociates1678.com,Summit,Claims & AR Follow-up,1,24,2025-02-12,
Cavendish Dental Care — Momentum embed,15796,2026-11-01,cavendishdentalcare8548.com,Momentum,Patient Scheduling;Treatment Coordination,1,19,,Specialty experience
Foxfield Dental Studio — Momentum embed,24109,2026-11-04,foxfielddentalstudio.com,Momentum,Treatment Coordination;Revenue Cycle / Billing,1,29,,
Ellswood Oral & Maxillofacial Surgery — Momentum embed,23278,2026-09-27,ellswoodoralmaxillofacialsur8136.com,Momentum,Patient Scheduling;Claims & AR Follow-up,1,28,,Client paused decision
Harbour Dental Studio — Momentum embed,17459,2026-05-27,harbourdentalstudio6658.com,Momentum,Treatment Coordination;Insurance Verification,1,21,2026-06-16,
Harbour Dental Partners — Core embed,18082,2026-08-08,harbourdentalpartners.com,Core,Front Office / Patient Comms;Patient Scheduling,1,29,2026-08-27,
Meridian Surgical Arts — Summit embed,45725,2025-12-25,meridiansurgicalarts5485.com,Summit,Claims & AR Follow-up;Office Management,1,40,2026-01-02,
Cavendish Orthodontics — Summit embed,37723,2025-05-23,cavendishorthodontics.com,Summit,Claims & AR Follow-up;Office Management,1,33,2025-06-03,
Cavendish Dental Care — Momentum embed,22447,2026-03-19,cavendishdentalcare4607.com,Momentum,Patient Scheduling;Treatment Coordination,1,27,2026-03-26,
Granville Dental Associates — Core embed,15588,2026-08-27,granvilledentalassociates.com,Core,Records & Charting Support,1,25,,Communication style
Lockhart Root Canal Specialists — Momentum embed,19953,2025-11-02,lockhartrootcanalspecialists3959.com,Momentum,Treatment Coordination,1,24,2025-11-18,
Ridgeway Movement Clinic — Core embed,12470,2026-11-20,ridgewaymovementclinic6441.com,Core,Front Office / Patient Comms;Recall & Reactivation,1,20,,
Belmont Kids Dental Care — Core embed,16835,2025-01-26,belmontkidsdentalcare8720.com,Core,Insurance Verification;Patient Scheduling,1,27,2025-02-22,
Harbour Smile Dentistry — Momentum embed,29929,2026-05-12,harboursmiledentistry8760.com,Momentum,Treatment Coordination;Claims & AR Follow-up,1,36,2026-06-04,
Westgate Dental Collective — Momentum embed,28266,2025-04-17,westgatedentalcollective3292.com,Momentum,Claims & AR Follow-up;Revenue Cycle / Billing,1,34,,Client paused decision
Camden Smile Dentistry — Momentum embed,16627,2026-03-02,camdensmiledentistry3116.com,Momentum,Claims & AR Follow-up;Patient Scheduling,1,20,2026-03-26,
Wynn Dental Group — Core 2 seats,24941,2025-03-04,wynndentalgroup7580.com,Core,Insurance Verification;Records & Charting Support,2,20,2025-03-24,
Thornbury Dental Associates — Core embed,12470,2026-11-23,thornburydentalassociates1713.com,Core,Recall & Reactivation;Records & Charting Support,1,20,,
Silverbrook Specialty Care Partners — Momentum embed,28266,2026-11-08,silverbrookspecialtycarepart6539.com,Momentum,Revenue Cycle / Billing;Insurance Verification,1,34,,
Pinehurst Dentistry — Summit embed,30864,2026-06-07,pinehurstdentistry5754.com,Summit,Revenue Cycle / Billing;Claims & AR Follow-up,1,27,2026-07-03,
Stonebridge Oral Health Partners — Momentum embed,19953,2026-10-28,stonebridgeoralhealthpartner2536.com,Momentum,Claims & AR Follow-up;Revenue Cycle / Billing,1,24,,Rate
Meridian Smile Dentistry — Momentum 2 seats,43231,2026-10-19,meridiansmiledentistry.com,Momentum,Treatment Coordination;Revenue Cycle / Billing,2,26,,
Camden Pediatric Dentistry — Core 2 seats,47388,2026-11-09,camdenpediatricdentistry9707.com,Core,Records & Charting Support;Insurance Verification,2,38,,
Wynn Dentistry — Momentum embed,29098,2026-01-07,wynndentistry1997.com,Momentum,Insurance Verification;Claims & AR Follow-up,1,35,,Client paused decision
Riverstone Oral Surgery Associates — Core embed,15588,2025-07-25,riverstoneoralsurgeryassocia.com,Core,Insurance Verification;Recall & Reactivation,1,25,,Client paused decision
Oakhurst Surgical Arts — Summit 3 seats,106310,2026-09-05,oakhurstsurgicalarts6708.com,Summit,Office Management;Operations Leadership,3,31,,
Cavendish Dermatology Group — Core embed,10600,2026-08-21,cavendishdermatologygroup.com,Core,Patient Scheduling;Front Office / Patient Comms,1,17,,
Thornbury Root Canal Specialists — Summit embed,34294,2025-08-01,thornburyrootcanalspecialist1449.com,Summit,Revenue Cycle / Billing;Operations Leadership,1,30,2025-08-20,
Stonebridge Oral & Maxillofacial Surgery — Momentum embed,22447,2026-09-10,stonebridgeoralmaxillofacial.com,Momentum,Revenue Cycle / Billing;Practice Marketing,1,27,,Rate
Draycott Dermatology Group — Momentum embed,18290,2026-10-14,draycottdermatologygroup8046.com,Momentum,Patient Scheduling;Revenue Cycle / Billing,1,22,,
Wexford Dental Studio — Summit embed,34294,2025-03-15,wexforddentalstudio527.com,Summit,Operations Leadership;Revenue Cycle / Billing,1,30,,Communication style
Ridgeway Oral Surgery Associates — Summit embed,29721,2026-09-16,ridgewayoralsurgeryassociate.com,Summit,Claims & AR Follow-up;Office Management,1,26,,
Silverbrook Root Canal Specialists — Core embed,22447,2026-08-26,silverbrookrootcanalspeciali4442.com,Core,Insurance Verification;Recall & Reactivation,1,36,,
Wexford Dentistry — Momentum embed,17459,2026-09-21,wexforddentistry3324.com,Momentum,Insurance Verification;Claims & AR Follow-up,1,21,,
Belmont Oral & Maxillofacial Surgery — Momentum embed,23278,2025-06-11,belmontoralmaxillofacialsurg5046.com,Momentum,Claims & AR Follow-up,1,28,2025-06-29,
Pinehurst Periodontal Specialists — Momentum embed,14133,2026-05-16,pinehurstperiodontalspeciali3548.com,Momentum,Patient Scheduling;Practice Marketing,1,17,2026-05-28,
Brookvale Dental Alliance — Core embed,17459,2026-09-16,brookvaledentalalliance.com,Core,Records & Charting Support;Recall & Reactivation,1,28,,
Camden Dental Care — Momentum 2 seats,44893,2026-03-06,camdendentalcare3215.com,Momentum,Practice Marketing;Patient Scheduling,2,27,2026-03-25,
Wexford Dental Studio — Core embed,18706,2025-04-16,wexforddentalstudio.com,Core,Recall & Reactivation;Front Office / Patient Comms,1,30,2025-05-07,
Maplewood Family Dental — Core embed,16835,2026-10-24,maplewoodfamilydental2552.com,Core,Insurance Verification;Recall & Reactivation,1,27,,Coverage hours mismatch
Clearwater Oral Health Partners — Momentum 2 seats,44893,2026-08-13,clearwateroralhealthpartners4312.com,Momentum,Treatment Coordination;Patient Scheduling,2,27,,
Thornbury Smile Dentistry — Core 2 seats,38658,2025-12-10,thornburysmiledentistry8142.com,Core,Recall & Reactivation,2,31,2026-01-02,
Fieldstone Dentistry — Momentum embed,25772,2026-09-13,fieldstonedentistry4240.com,Momentum,Patient Scheduling;Insurance Verification,1,31,,
Camden Orthodontics — Core embed,19329,2025-09-11,camdenorthodontics3721.com,Core,Recall & Reactivation;Patient Scheduling,1,31,2025-09-25,
Highpoint Movement Clinic — Core embed,19329,2026-06-08,highpointmovementclinic3437.com,Core,Recall & Reactivation;Records & Charting Support,1,31,2026-06-22,
Stonebridge Dental Associates — Summit embed,38866,2026-02-23,stonebridgedentalassociates4155.com,Summit,Operations Leadership;Revenue Cycle / Billing,1,34,2026-03-16,
Cavendish Dentistry — Momentum embed,30760,2026-06-01,cavendishdentistry4260.com,Momentum,Claims & AR Follow-up;Patient Scheduling,1,37,2026-06-19,
Nortonville Smile Partners — Momentum embed,25772,2026-09-01,nortonvillesmilepartners5739.com,Momentum,Revenue Cycle / Billing;Insurance Verification,1,31,,Practice software gap
Beacon Pediatric Dentistry — Summit embed,26292,2026-07-27,beaconpediatricdentistry3298.com,Summit,Revenue Cycle / Billing,1,23,2026-08-03,
Fieldstone Dental Studio — Core embed,21200,2025-09-14,fieldstonedentalstudio3305.com,Core,Patient Scheduling;Records & Charting Support,1,34,,Rate
Bayview Orthodontics — Momentum embed,24109,2025-09-15,bayvieworthodontics5222.com,Momentum,Claims & AR Follow-up;Insurance Verification,1,29,2025-09-25,
Sinclair Family Dentistry Group — Momentum embed,24109,2026-11-21,sinclairfamilydentistrygroup.com,Momentum,Insurance Verification;Practice Marketing,1,29,,Client paused decision
Tarrant Dental Group — Momentum embed,29929,2025-03-15,tarrantdentalgroup94.com,Momentum,Patient Scheduling,1,36,2025-04-04,
Beacon Oral & Maxillofacial Surgery — Momentum 3 seats,52376,2026-09-20,beaconoralmaxillofacialsurge6984.com,Momentum,Recall & Reactivation;Patient Scheduling,3,21,,
Ellswood Dental Studio — Momentum 2 seats,38243,2026-06-22,ellswooddentalstudio6898.com,Momentum,Claims & AR Follow-up;Revenue Cycle / Billing,2,23,2026-07-14,
Belmont Smile Dentistry — Momentum 2 seats,49882,2026-02-20,belmontsmiledentistry.com,Momentum,Revenue Cycle / Billing;Claims & AR Follow-up,2,30,,
Maplewood Endodontic Associates — Momentum embed,29098,2025-04-11,maplewoodendodonticassociate4039.com,Momentum,Recall & Reactivation;Revenue Cycle / Billing,1,35,2025-04-21,
Beacon Surgical Arts — Summit embed,24006,2026-10-12,beaconsurgicalarts.com,Summit,Claims & AR Follow-up;Operations Leadership,1,21,,
Ellswood Oral & Maxillofacial Surgery — Core 2 seats,38658,2026-09-04,ellswoodoralmaxillofacialsur8136.com,Core,Insurance Verification,2,31,,
Beacon Dentistry — Momentum embed,14964,2025-05-05,beacondentistry1603.com,Momentum,Revenue Cycle / Billing;Claims & AR Follow-up,1,18,2025-05-22,
Lakeshore Movement Clinic — Momentum 2 seats,48219,2026-11-07,lakeshoremovementclinic7813.com,Momentum,Practice Marketing;Insurance Verification,2,29,,Specialty experience
Draycott Pediatric Dentistry — Momentum 2 seats,36580,2026-10-03,draycottpediatricdentistry9988.com,Momentum,Insurance Verification;Treatment Coordination,2,22,,
Alder Creek Children’s Dental — Core 2 seats,23694,2025-04-14,aldercreekchildrensdental4435.com,Core,Recall & Reactivation;Front Office / Patient Comms,2,19,,
Wexford Dental Care Group — Momentum embed,23278,2026-08-28,wexforddentalcaregroup6957.com,Momentum,Claims & AR Follow-up;Patient Scheduling,1,28,,
Camden Dentistry — Momentum embed,25772,2025-05-26,camdendentistry4066.com,Momentum,Insurance Verification;Practice Marketing,1,31,,
Ridgeway Dental Studio — Core embed,16212,2025-04-12,ridgewaydentalstudio.com,Core,Front Office / Patient Comms,1,26,2025-05-05,
Riverstone Orthodontic Group — Momentum 2 seats,39905,2026-08-31,riverstoneorthodonticgroup7015.com,Momentum,Revenue Cycle / Billing;Claims & AR Follow-up,2,24,,Communication style
Wynn Dental Care — Momentum embed,21615,2026-04-05,wynndentalcare8205.com,Momentum,Revenue Cycle / Billing;Claims & AR Follow-up,1,26,,
Silverbrook Family Dentistry Group — Core embed,11847,2026-10-07,silverbrookfamilydentistrygr8442.com,Core,Records & Charting Support;Patient Scheduling,1,19,,Specialty experience
Thornbury Dentistry — Core embed,13717,2026-08-18,thornburydentistry1528.com,Core,Recall & Reactivation;Front Office / Patient Comms,1,22,,
Cedar Point Smile Dentistry — Momentum embed,19953,2026-09-25,cedarpointsmiledentistry192.com,Momentum,Insurance Verification;Practice Marketing,1,24,,Communication style
Silverbrook Oral Health Partners — Momentum embed,19953,2026-11-14,silverbrookoralhealthpartner7871.com,Momentum,Insurance Verification;Treatment Coordination,1,24,,
Prescott Family Dentistry Group — Core embed,11847,2025-05-01,prescottfamilydentistrygroup8791.com,Core,Records & Charting Support;Patient Scheduling,1,19,2025-05-08,
Oakhurst Smile Partners — Momentum embed,26604,2025-08-20,oakhurstsmilepartners.com,Momentum,Revenue Cycle / Billing;Patient Scheduling,1,32,,Practice software gap
Pinehurst Dental Care Group — Momentum 2 seats,51544,2026-07-07,pinehurstdentalcaregroup1318.com,Momentum,Practice Marketing;Patient Scheduling,2,31,2026-07-17,
Northline Braces & Aligners — Core embed,18082,2026-08-14,northlinebracesaligners9256.com,Core,Records & Charting Support,1,29,,
Meridian Dental Care — Summit embed,27435,2026-12-04,meridiandentalcare4502.com,Summit,Revenue Cycle / Billing;Office Management,1,24,,Rate
Pinehurst Children’s Dental — Core 2 seats,31176,2026-08-26,pinehurstchildrensdental.com,Core,Recall & Reactivation,2,25,,
Meridian Dental Care — Momentum embed,25772,2025-10-23,meridiandentalcare4730.com,Momentum,Patient Scheduling;Revenue Cycle / Billing,1,31,2025-11-09,
Windsor Braces & Aligners — Momentum embed,17459,2025-01-29,windsorbracesaligners817.com,Momentum,Insurance Verification;Recall & Reactivation,1,21,2025-02-21,
Clearwater Surgical Arts — Momentum embed,14964,2026-11-02,clearwatersurgicalarts4153.com,Momentum,Claims & AR Follow-up;Revenue Cycle / Billing,1,18,,
Meridian Orthodontic Group — Momentum embed,29098,2026-04-20,meridianorthodonticgroup3680.com,Momentum,Revenue Cycle / Billing;Treatment Coordination,1,35,2026-05-18,
Fieldstone Dentistry — Momentum embed,26604,2025-09-21,fieldstonedentistry4331.com,Momentum,Revenue Cycle / Billing;Recall & Reactivation,1,32,,Communication style
Draycott Dental Care Group — Momentum embed,31592,2026-09-13,draycottdentalcaregroup9784.com,Momentum,Revenue Cycle / Billing;Practice Marketing,1,38,,Specialty experience
Glenwood Physical Therapy — Momentum embed,22447,2025-04-04,glenwoodphysicaltherapy5618.com,Momentum,Practice Marketing;Recall & Reactivation,1,27,2025-04-30,
Meridian Braces & Aligners — Summit 3 seats,102881,2026-08-30,meridianbracesaligners6291.com,Summit,Office Management,3,30,,Client paused decision
Belmont Orthodontic Specialists — Core 3 seats,54246,2025-10-16,belmontorthodonticspecialist6973.com,Core,Patient Scheduling,3,29,2025-11-04,
Everly Dentistry — Momentum embed,15796,2026-10-11,everlydentistry947.com,Momentum,Treatment Coordination,1,19,,Coverage hours mismatch
Thornbury Orthodontic Specialists — Momentum 2 seats,29929,2025-01-06,thornburyorthodonticspeciali152.com,Momentum,Patient Scheduling;Insurance Verification,2,18,2025-01-14,
Redwood Oral & Maxillofacial Surgery — Core 2 seats,46140,2026-11-10,redwoodoralmaxillofacialsurg3538.com,Core,Front Office / Patient Comms;Records & Charting Support,2,37,,
Cedar Point Smile Dentistry — Momentum embed,24941,2025-01-22,cedarpointsmiledentistry6254.com,Momentum,Recall & Reactivation;Insurance Verification,1,30,2025-02-14,
Fieldstone Family Dental — Summit embed,30864,2026-08-15,fieldstonefamilydental9735.com,Summit,Office Management,1,27,,Rate
Oakhurst Family Dentistry Group — Momentum embed,28266,2025-02-03,oakhurstfamilydentistrygroup2455.com,Momentum,Treatment Coordination;Recall & Reactivation,1,34,,
Ashford Root Canal Specialists — Summit embed,20576,2026-11-19,ashfordrootcanalspecialists8252.com,Summit,Revenue Cycle / Billing,1,18,,
Ashford Dental Partners — Summit embed,32007,2025-11-12,ashforddentalpartners9543.com,Summit,Office Management,1,28,2025-11-29,
Beacon Dental Associates — Summit embed,27435,2026-08-26,beacondentalassociates5163.com,Summit,Revenue Cycle / Billing;Office Management,1,24,,
Pinehurst Dental Studio — Momentum embed,23278,2026-10-17,pinehurstdentalstudio7170.com,Momentum,Revenue Cycle / Billing;Treatment Coordination,1,28,,
Stonebridge Oral Health Partners — Core 3 seats,61728,2025-05-12,stonebridgeoralhealthpartner.com,Core,Patient Scheduling;Records & Charting Support,3,33,,Communication style
Beacon Smile Partners — Core embed,16212,2025-06-15,beaconsmilepartners1919.com,Core,Records & Charting Support;Patient Scheduling,1,26,2025-06-29,
Hollis Dental Alliance — Momentum embed,21615,2025-02-17,hollisdentalalliance1560.com,Momentum,Practice Marketing;Patient Scheduling,1,26,2025-02-27,
Fieldstone Dental Group — Summit embed,29721,2026-01-01,fieldstonedentalgroup9242.com,Summit,Claims & AR Follow-up,1,26,2026-01-26,
Stonebridge Oral Surgery Associates — Summit embed,33150,2026-09-04,stonebridgeoralsurgeryassoci7224.com,Summit,Operations Leadership;Revenue Cycle / Billing,1,29,,Communication style
Fairmont Dental Care Group — Core embed,16835,2026-06-23,fairmontdentalcaregroup.com,Core,Insurance Verification,1,27,2026-07-18,
Thornbury Dental Associates — Core embed,17459,2025-07-05,thornburydentalassociates1713.com,Core,Front Office / Patient Comms;Insurance Verification,1,28,,Practice software gap
Pinehurst Dental Group — Core embed,16835,2026-11-01,pinehurstdentalgroup2273.com,Core,Insurance Verification,1,27,,
Prescott Dental Studio — Core embed,20576,2026-10-01,prescottdentalstudio2432.com,Core,Insurance Verification;Recall & Reactivation,1,33,,
Fieldstone Kids Dental Care — Momentum embed,22447,2026-11-20,fieldstonekidsdentalcare7485.com,Momentum,Treatment Coordination;Recall & Reactivation,1,27,,
Cedar Point Family Dental — Momentum 2 seats,49882,2025-09-27,cedarpointfamilydental4976.com,Momentum,Practice Marketing,2,30,2025-10-12,
Windsor Root Canal Specialists — Core embed,18082,2026-10-21,windsorrootcanalspecialists.com,Core,Front Office / Patient Comms;Records & Charting Support,1,29,,
Bramwell Specialty Care Partners — Summit 2 seats,70873,2026-11-29,bramwellspecialtycarepartner5838.com,Summit,Operations Leadership;Claims & AR Follow-up,2,31,,Rate
Sinclair Children’s Dental — Core embed,14341,2026-10-10,sinclairchildrensdental8612.com,Core,Recall & Reactivation;Patient Scheduling,1,23,,
Belmont Dental Studio — Summit embed,41152,2025-08-01,belmontdentalstudio.com,Summit,Operations Leadership;Office Management,1,36,,Specialty experience
Ashford Dental Collective — Momentum embed,29929,2026-08-31,ashforddentalcollective9087.com,Momentum,Recall & Reactivation;Revenue Cycle / Billing,1,36,,Communication style
Hollis Root Canal Specialists — Momentum embed,24941,2026-10-07,hollisrootcanalspecialists4382.com,Momentum,Recall & Reactivation;Revenue Cycle / Billing,1,30,,
Beacon Dental Care Group — Momentum embed,25772,2026-08-21,beacondentalcaregroup4303.com,Momentum,Patient Scheduling;Claims & AR Follow-up,1,31,,
Foxfield Smile Partners — Core embed,22447,2025-03-18,foxfieldsmilepartners6929.com,Core,Insurance Verification,1,36,,
Draycott Dental Alliance — Momentum embed,15796,2026-11-10,draycottdentalalliance2603.com,Momentum,Revenue Cycle / Billing;Patient Scheduling,1,19,,
Tarrant Movement Clinic — Momentum embed,26604,2026-09-16,tarrantmovementclinic.com,Momentum,Practice Marketing;Recall & Reactivation,1,32,,Coverage hours mismatch
Windsor Root Canal Specialists — Momentum embed,22447,2025-08-08,windsorrootcanalspecialists8988.com,Momentum,Claims & AR Follow-up;Revenue Cycle / Billing,1,27,2025-08-15,
Hollis Orthodontic Specialists — Core 2 seats,32423,2026-11-24,hollisorthodonticspecialists5335.com,Core,Insurance Verification;Front Office / Patient Comms,2,26,,
